# Dataset "Data 6" exported from GenX3 on Fri Apr 12 23:02:51 2024
# Column lables:
# x                I_simulated        I                  error(I)
5.000000000000e-04 2.000000000000e+00 0.000000000000e+00 0.000000000000e+00
1.000000000000e-03 2.000000000000e+00 0.000000000000e+00 0.000000000000e+00
1.500000000000e-03 2.000000000000e+00 0.000000000000e+00 0.000000000000e+00
2.000000000000e-03 2.000000000000e+00 0.000000000000e+00 0.000000000000e+00
2.500000000000e-03 2.000000000000e+00 0.000000000000e+00 0.000000000000e+00
3.000000000000e-03 2.000000000000e+00 0.000000000000e+00 0.000000000000e+00
3.500000000000e-03 2.000000000000e+00 0.000000000000e+00 0.000000000000e+00
4.000000000000e-03 2.000000000000e+00 0.000000000000e+00 0.000000000000e+00
4.500000000000e-03 2.000000000000e+00 0.000000000000e+00 0.000000000000e+00
5.000000000000e-03 2.000000000000e+00 0.000000000000e+00 0.000000000000e+00
5.500000000000e-03 2.000000000000e+00 0.000000000000e+00 0.000000000000e+00
6.000000000000e-03 2.000000000000e+00 0.000000000000e+00 0.000000000000e+00
6.500000000000e-03 2.000000000000e+00 0.000000000000e+00 0.000000000000e+00
7.000000000000e-03 2.000000000000e+00 0.000000000000e+00 0.000000000000e+00
7.500000000000e-03 2.000000000000e+00 0.000000000000e+00 0.000000000000e+00
8.000000000000e-03 2.000000000000e+00 0.000000000000e+00 0.000000000000e+00
8.500000000000e-03 1.956077822553e+00 0.000000000000e+00 0.000000000000e+00
