Comparison for MagneticReferenceLayer/CoTiMRL1000.dat
SLD Values:
  SOI: rho_n=2.023e-06
  MRL: rho_n=9.752e-08, rho_m=5.546e-07, rho_up=6.521e-07
  Sub: rho_n=2.072e-06
---------------------------------------------
Assuming x is Q (A^-1) and Data Scale=2.0. Lib Bkg=0.0
Q          | GenX_Norm  | Lib        | Diff      
---------------------------------------------
0.0005     | 1.0000e+00 | 1.0000e+00 | 2.2204e-16
0.0105     | 4.5631e-01 | 2.9856e-01 | 1.5775e-01
0.0205     | 4.0494e-03 | 6.0236e-04 | 3.4470e-03
0.0305     | 7.1507e-05 | 1.8584e-03 | 1.7869e-03
0.0405     | 1.8514e-04 | 1.0465e-03 | 8.6137e-04
0.0505     | 9.8652e-06 | 2.9177e-04 | 2.8190e-04
0.0605     | 3.0297e-05 | 3.6459e-05 | 6.1624e-06
0.0705     | 4.2713e-06 | 3.5661e-05 | 3.1390e-05
0.0805     | 5.4393e-06 | 4.9302e-05 | 4.3863e-05
0.0905     | 1.3918e-06 | 2.5764e-05 | 2.4372e-05
0.1005     | 1.3342e-06 | 3.6049e-06 | 2.2707e-06
0.1105     | 5.2543e-07 | 1.4196e-06 | 8.9418e-07
0.1205     | 3.9546e-07 | 5.4944e-06 | 5.0989e-06
0.1305     | 2.7984e-07 | 4.2804e-06 | 4.0006e-06
0.1405     | 6.5605e-08 | 9.0941e-07 | 8.4381e-07
0.1505     | 8.7813e-08 | 4.9601e-07 | 4.0820e-07
0.1605     | 1.6040e-08 | 1.7462e-06 | 1.7302e-06
0.1705     | 2.9888e-08 | 1.6661e-06 | 1.6362e-06
0.1805     | 4.9712e-09 | 5.6235e-07 | 5.5738e-07
0.1905     | 1.5285e-08 | 1.7419e-07 | 1.5890e-07
0.2005     | 2.2648e-10 | 5.4828e-07 | 5.4806e-07
0.2105     | 3.2227e-09 | 6.4992e-07 | 6.4669e-07
0.2205     | 1.3468e-10 | 3.0020e-07 | 3.0007e-07
0.2305     | 8.8553e-10 | 9.3249e-08 | 9.2364e-08
0.2405     | 4.7859e-11 | 2.0634e-07 | 2.0630e-07
0.2505     | 5.5216e-10 | 2.8550e-07 | 2.8494e-07
0.2605     | 6.7715e-11 | 1.7092e-07 | 1.7085e-07
0.2705     | 4.7726e-11 | 6.5074e-08 | 6.5026e-08
0.2805     | 2.0275e-11 | 9.2865e-08 | 9.2845e-08
0.2905     | 1.8095e-11 | 1.3689e-07 | 1.3687e-07

Mean Abs Diff: 1.9428e-03
